"","ABREU E LIMA","AFOGADOS DA INGAZEIRA","AGRESTINA","AGUA PRETA","AGUAS BELAS","ALAGOINHA","ALIANCA","ALTINHO","AMARAJI","ARACOIABA","ARARIPINA","ARCOVERDE","BARRA DE GUABIRABA","BARREIROS","BELEM DE SAO FRANCISCO","BELO JARDIM","BETANIA","BEZERROS","BOM CONSELHO","BOM JARDIM","BONITO","BREJO DA MADRE DE DEUS","BUENOS AIRES","BUIQUE","CABO DE SANTO AGOSTINHO","CABROBO","CACHOEIRINHA","CAETES","CAMARAGIBE","CAMOCIM DE SAO FELIX","CAMUTANGA","CAPOEIRAS","CARNAIBA","CARNAUBEIRA DA PENHA","CARPINA","CARUARU","CATENDE","CEDRO","CHA DE ALEGRIA","CHA GRANDE","CONDADO","CORTES","CUMARU","CUPIRA","CUSTODIA","ESCADA","FEIRA NOVA","FERREIROS","FLORESTA","FREI MIGUELINHO","GAMELEIRA","GARANHUNS","GLORIA DO GOITA","GOIANA","GRANITO","GRAVATA","IBIMIRIM","IBIRAJUBA","IGARASSU","IGUARACI","ILHA DE ITAMARACA","IPOJUCA","IPUBI","ITAIBA","ITAMBE","ITAPETIM","ITAPISSUMA","ITAQUITINGA","JABOATAO DOS GUARARAPES","JAQUEIRA","JATAUBA","JATOBA","JOAO ALFREDO","JOAQUIM NABUCO","JUCATI","JUREMA","LAGOA DO CARRO","LAGOA DO ITAENGA","LAGOA DO OURO","LAJEDO","LIMOEIRO","MACAPARANA","MACHADOS","MORENO","NAZARE DA MATA","OLINDA","OROBO","OURICURI","PALMARES","PANELAS","PASSIRA","PAUDALHO","PAULISTA","PEDRA","PESQUEIRA","PETROLANDIA","PETROLINA","POCAO","POMBOS","PRIMAVERA","QUIXABA","RECIFE","RIBEIRAO","RIO FORMOSO","SALGUEIRO","SANHARO","SANTA CRUZ DO CAPIBARIBE","SANTA MARIA DA BOA VISTA","SAO BENEDITO DO SUL","SAO BENTO DO UNA","SAO CAITANO","SAO JOAO","SAO JOAQUIM DO MONTE","SAO JOSE DA COROA GRANDE","SAO JOSE DO EGITO","SAO LOURENCO DA MATA","SAO VICENTE FERRER","SERRA TALHADA","SERTANIA","SIRINHAEM","SURUBIM","TABIRA","TAMANDARE","TIMBAUBA","TORITAMA","TRINDADE","TRIUNFO","TUPANATINGA","VENTUROSA","VERTENTES","VICENCIA","VITORIA DE SANTO ANTAO","XEXEU"
"2020-04-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-14",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-15",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,1,0,1,13,0,0,0,3,0,0,0,0,129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"2020-04-16",5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,1,1,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,0,0,0,0,1,4,22,1,0,0,5,1,3,0,0,191,0,0,0,0,0,0,0,0,2,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,0
"2020-04-17",3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,42,0,1,0,0,1,2,24,0,0,0,3,0,0,0,0,223,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"2020-04-18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,18,1,0,1,0,1,0,16,3,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-04-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020-04-20",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,1,63,0,0,2,0,0,6,38,0,0,0,1,0,5,1,0,347,1,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,8,0
"2020-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,1,1,16,0,0,0,1,0,3,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020-04-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,5,0,0,0,6,0,4,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020-04-23",4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,4,19,0,0,0,7,0,3,0,0,113,0,0,0,0,0,0,0,0,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"2020-04-24",3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,20,1,0,0,0,1,1,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,4,1,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,32,0,0,0,0,0,3,28,0,1,0,4,0,1,1,0,290,1,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,5,0,0,0,0,3,0,1,0,0,0,0,2,10,0
"2020-04-25",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,22,0,0,1,0,0,1,12,0,1,0,0,0,0,1,0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-26",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2020-04-27",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,3,0,1,1,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,41,0,0,0,0,0,2,30,0,0,0,4,0,5,0,1,219,0,0,2,0,0,0,0,0,2,0,0,0,1,9,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0
"2020-04-28",4,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,2,1,0,0,0,4,0,1,0,0,1,1,1,0,0,1,0,3,0,3,0,0,0,1,4,0,1,1,0,0,0,0,0,1,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,40,0,1,1,0,3,3,36,0,1,0,2,0,1,3,0,283,1,0,0,0,0,1,0,0,0,0,1,2,0,8,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,6,0
"2020-04-29",9,1,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,4,0,0,0,1,2,1,0,0,7,1,0,1,0,0,0,0,1,8,0,2,2,0,4,0,0,1,1,0,0,0,0,1,43,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,1,51,0,0,0,0,1,3,39,0,0,0,3,0,4,0,0,243,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0
"2020-04-30",3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,14,0,0,1,13,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,0,0,0,1,0,0,40,2,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,40,0,2,3,0,2,1,24,1,0,0,3,0,1,0,0,252,1,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"2020-05-01",2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,18,0,0,0,0,0,0,10,0,0,2,0,0,3,0,0,70,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"2020-05-02",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"2020-05-03",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"2020-05-04",3,0,0,5,1,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,1,0,2,0,0,4,2,0,0,0,1,3,1,0,0,0,1,5,0,7,0,1,0,0,1,0,3,6,0,0,0,0,1,0,30,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,29,0,0,5,1,2,1,27,0,0,0,1,0,8,0,0,217,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,3,0,1,0,0,0,2,1,5,0
"2020-05-05",5,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,1,1,1,1,0,0,1,0,3,0,0,2,0,1,3,0,1,1,0,0,0,0,5,0,0,1,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,36,0,2,1,1,0,1,27,0,0,0,2,0,5,0,0,226,0,0,3,0,2,0,0,0,1,0,0,0,0,6,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"2020-05-06",0,1,1,2,2,0,0,0,1,0,3,0,0,3,0,0,0,2,1,2,2,0,0,0,2,0,0,0,12,1,0,0,0,0,0,8,0,0,0,0,2,0,1,3,0,1,0,2,1,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,36,2,5,0,3,0,1,0,0,0,0,0,2,0,0,0,0,24,0,0,1,0,3,0,15,0,1,0,2,0,4,1,0,164,0,1,0,0,0,0,0,2,1,0,0,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0
"2020-05-07",6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,3,0,2,2,17,2,0,0,0,0,0,6,0,0,0,2,0,0,8,0,0,0,1,1,0,0,2,2,1,3,0,0,0,0,1,0,4,7,0,1,1,1,0,1,38,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,35,0,1,0,1,0,3,26,0,0,0,0,1,8,3,0,173,1,1,0,0,0,0,0,1,0,0,1,1,0,5,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,10,0
"2020-05-08",1,1,0,1,3,0,7,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,8,0,1,0,0,0,0,3,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,9,1,1,0,2,0,0,1,0,0,2,0,0,1,0,1,0,27,3,4,0,0,0,1,0,0,1,0,0,3,0,0,3,0,27,1,0,0,0,0,4,23,2,0,0,0,0,1,1,0,176,0,1,0,0,0,0,1,1,0,0,0,2,1,6,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,14,0
"2020-05-09",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2020-05-10",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020-05-11",0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
